country_name,country_code,gdp_growth,tax_revenue,govt_expen,fdi
Paraguay,PRY,2.957151735,9.74517638,11.54884576,2.038287669
West Bank and Gaza,PSE,3.721299671,5.192409364,25.18424269,1.141637529
Pacific island small states,PSS,3.66158972,21.91010317,21.99847829,5.704236778
Post-demographic dividend,PST,2.153163873,15.59507139,17.97353171,2.030706998
Romania,ROU,2.953674037,17.91751549,14.503111,1.934991695
Russian Federation,RUS,-1.972719226,13.2553613,18.02733139,1.069876215
Rwanda,RWA,8.856861325,12.95423906,14.28307816,3.813068977
South Asia,SAS,7.368698348,9.899170122,10.05694021,1.560292602
Saudi Arabia,SAU,4.106393864,2.77137882,26.06043859,1.059269252
Sudan,SDN,1.910176891,7.982317862,15.76492216,1.628883277
Singapore,SGP,2.976799316,13.55655713,9.631032022,21.81934907
El Salvador,SLV,2.398973133,16.7087952,15.95416729,2.240895136
Serbia,SRB,1.806059265,21.9701414,18.05345858,4.248715325
Slovak Republic,SVK,5.215649803,17.49578392,18.42119363,-0.35899835
Slovenia,SVN,2.210081607,18.16881795,18.88801043,2.038875957
Sweden,SWE,4.489281588,26.51489081,26.08433328,-1.481928904
Seychelles,SYC,5.637314488,29.11589921,21.87590106,7.808963647
East Asia & Pacific (IDA & IBRD countries),TEA,6.689118254,10.187102,15.14992806,2.578373718
Europe & Central Asia (IDA & IBRD countries),TEC,1.453515903,15.38500831,16.37078018,1.938880192
Togo,TGO,5.742868453,18.39938624,16.54294306,1.180775985
Thailand,THA,3.134047249,15.80833907,16.91636111,1.221451939
Latin America & the Caribbean (IDA & IBRD countries),TLA,0.495751126,13.23953788,15.82165805,3.066304127
Timor-Leste,TLS,2.76107911,62.80056244,65.67653126,2.342660485
South Asia (IDA & IBRD),TSA,7.368698348,9.899170122,10.05694021,1.560292602
Turkiye,TUR,6.084486904,17.94581705,14.01997975,1.420412446
Tanzania,TZA,6.160628774,11.36379689,9.867791339,2.834172021
Ukraine,UKR,-9.772987213,17.29434784,18.66577605,0.634440717
Upper middle income,UMC,4.304537569,11.6867343,16.17968536,2.386402063
Uruguay,URY,0.370741265,18.56113854,13.69639301,7.137512567
United States,USA,2.706369582,10.93318083,14.62196322,1.435021307
Uzbekistan,UZB,7.218773508,13.47039298,13.24519459,1.000274787
Vanuatu,VUT,0.371578452,18.33757009,13.91623316,1.717712478
World,WLD,3.08105935,13.97149359,16.87857749,2.384488979
South Africa,ZAF,1.321862237,24.43193422,19.31406259,1.519327438
Zambia,ZMB,2.920375112,15.76103033,14.52389361,5.555427918
